gameId,attendance
42100215,19156
42100225,17071
42100234,18064
42100214,17505
42100204,21194
42100224,20610
42100233,18064
42100213,17736
42100223,20777
42100203,21033
42100222,17071
42100202,19759
42100232,17794
42100212,19156
42100221,17071
42100201,19620
42100231,17794
42100211,19156
42100156,20323
42100176,18306
42100146,18710
42100136,19800
42100165,18064
42100125,17506
42100145,17071
42100155,17794
42100105,19553
42100135,20517
42100114,18099
42100144,18962
42100104,18951
42100164,19628
42100124,22020
42100154,19832
42100113,18175
42100134,19800
42100143,18962
42100123,22667
42100103,18421
42100163,19627
42100173,18306
42100153,19634
42100122,17688
42100133,19800
42100112,19156
42100142,17071
42100152,17794
42100102,19950
42100162,18064
42100172,20113
42100132,20974
42100141,17071
42100121,17717
42100111,19156
42100101,19514
42100161,18064
42100151,17794
42100171,20013
22101219,20270
22101220,19520
22101222,18210
22101225,16595
22101229,17071
22101230,18123
22101224,17136
22101223,17441
22101226,19812
22101227,19253
22101228,21459
22101216,17967
22101218,19432
22101221,18055
22101212,17568
22101215,18627
22101213,17207
22101214,21171
22101211,18997
22101210,18306
22101209,20174
22101207,19993
22101208,21461
22101205,18169
22101206,19800
22101203,22088
22101202,18064
22101199,17136
22101200,12432
22101197,19800
22101198,18046
22101195,19068
22101194,18306
22101192,17381
22101193,21095
22101191,19812
22101190,18422
22101189,17071
22101188,16047
22101186,17037
22101187,18306
22101183,20799
22101184,17136
22101185,14674
22101180,17768
22101181,19600
22101182,19800
22101178,15583
22101179,16897
22101177,16840
22101176,17583
22101172,19800
22101173,16539
22101174,17078
22101175,15816
22101170,19432
22101171,15747
22101169,17407
22101168,18997
22101166,19156
22101167,17902
22101165,18064
22101164,21697
22101163,18126
22101162,19812
22101161,21509
22101160,18997
22101158,17512
22101155,17794
22101156,18023
22101153,19156
22101151,17566
22101152,17745
22101150,18306
22100452,17491
22101148,17917
22101147,20023
22101145,18064
22101146,18551
22101144,15821
22101142,13365
22101143,15595
22101139,19156
22101140,19812
22101136,19432
22101138,16455
22101135,19068
22101133,17559
22101134,20382
22101131,21467
22101132,15922
22101130,18188
22101128,18055
22101129,17011
22101125,19600
22101126,19812
22101127,19800
22101122,17614
22101124,14212
22101120,18166
22101121,20177
22101119,18516
22101117,20476
22101118,17071
22101115,19304
22101114,17821
22101113,19520
22101110,19432
22101111,19600
22101112,17794
22101109,19800
22101108,16366
22101107,13097
22101106,19068
22101105,16947
22101103,19600
22101104,17136
22101102,17724
22101100,19162
22101101,18943
22101099,19520
22101096,16205
22101097,18018
22101098,13973
22101095,19800
22101093,18997
22101094,16610
22101090,17136
22101091,14393
22101087,19156
22101088,19600
22101089,17794
22101084,16290
22101085,16212
22101086,14227
22101083,16089
22101082,17983
22101081,19812
22101080,17164
22101079,20077
22101076,21778
22101077,13936
22101078,15345
22101074,21386
22101075,17887
22101071,13351
22101072,19432
22101073,14923
22101069,21180
22101070,18064
22101068,19602
22101067,19812
22101065,15012
22101066,17583
22101062,16067
22101063,18055
22101060,19432
22101061,20476
22101059,19279
22101058,17136
22101056,17071
