arenaName,teamId,teamCity,teamName,games,mean_delta
Delta Center,1610612745,Houston,Rockets,2,0.0
Delta Center,1610612746,LA,Clippers,2,0.0
Delta Center,1610612747,Los Angeles,Lakers,2,0.0
Delta Center,1610612748,Miami,Heat,1,0.0
Delta Center,1610612749,Milwaukee,Bucks,1,0.0
Delta Center,1610612750,Minnesota,Timberwolves,2,0.0
Delta Center,1610612751,Brooklyn,Nets,1,0.0
Delta Center,1610612752,New York,Knicks,1,0.0
Delta Center,1610612753,Orlando,Magic,1,0.0
Delta Center,1610612754,Indiana,Pacers,1,0.0
Delta Center,1610612755,Philadelphia,76ers,1,0.0
Delta Center,1610612756,Phoenix,Suns,1,0.0
Delta Center,1610612757,Portland,Trail Blazers,2,0.0
Delta Center,1610612758,Sacramento,Kings,2,0.0
Delta Center,1610612759,San Antonio,Spurs,1,0.0
Delta Center,1610612760,Oklahoma City,Thunder,2,0.0
Delta Center,1610612761,Toronto,Raptors,1,0.0
Delta Center,1610612763,Memphis,Grizzlies,2,0.0
Delta Center,1610612764,Washington,Wizards,1,0.0
Delta Center,1610612765,Detroit,Pistons,1,0.0
Delta Center,1610612766,Charlotte,Hornets,1,0.0
FedExForum,1610612738,Boston,Celtics,1,1752.4
FedExForum,1610612761,Toronto,Raptors,1,1726.8
FedExForum,1610612741,Chicago,Bulls,1,1583.2
FedExForum,1610612749,Milwaukee,Bucks,1,1310.4
FedExForum,1610612739,Cleveland,Cavaliers,1,1201.6
FedExForum,1610612747,Los Angeles,Lakers,1,802.7
FedExForum,1610612740,New Orleans,Pelicans,2,661.1
FedExForum,1610612762,Utah,Jazz,2,479.6
FedExForum,1610612764,Washington,Wizards,1,451.9
FedExForum,1610612744,Golden State,Warriors,1,358.6
FedExForum,1610612755,Philadelphia,76ers,1,337.0
FedExForum,1610612751,Brooklyn,Nets,1,244.7
FedExForum,1610612743,Denver,Nuggets,2,231.9
FedExForum,1610612746,LA,Clippers,2,210.4
FedExForum,1610612754,Indiana,Pacers,1,104.2
FedExForum,1610612745,Houston,Rockets,2,79.6
FedExForum,1610612752,New York,Knicks,1,-162.5
FedExForum,1610612760,Oklahoma City,Thunder,2,-220.4
FedExForum,1610612759,San Antonio,Spurs,2,-225.5
FedExForum,1610612737,Atlanta,Hawks,1,-292.7
FedExForum,1610612742,Dallas,Mavericks,2,-318.9
FedExForum,1610612750,Minnesota,Timberwolves,2,-667.6
FedExForum,1610612748,Miami,Heat,1,-716.3
FedExForum,1610612756,Phoenix,Suns,2,-897.3
FedExForum,1610612758,Sacramento,Kings,2,-922.5
FedExForum,1610612757,Portland,Trail Blazers,2,-937.8
FedExForum,1610612765,Detroit,Pistons,1,-1556.3
FedExForum,1610612766,Charlotte,Hornets,1,-2090.7
Fiserv Forum,1610612741,Chicago,Bulls,2,963.6
Fiserv Forum,1610612766,Charlotte,Hornets,2,878.6
Fiserv Forum,1610612743,Denver,Nuggets,1,708.4
Fiserv Forum,1610612744,Golden State,Warriors,1,708.4
Fiserv Forum,1610612745,Houston,Rockets,1,708.4
Fiserv Forum,1610612746,LA,Clippers,1,708.4
Fiserv Forum,1610612747,Los Angeles,Lakers,1,708.4
Fiserv Forum,1610612750,Minnesota,Timberwolves,1,708.4
Fiserv Forum,1610612758,Sacramento,Kings,1,708.4
Fiserv Forum,1610612759,San Antonio,Spurs,1,708.4
