season,building,teamId,teamCity,teamName,games,mean_delta
1980,Pontiac Silverdome,1610612759,San Antonio,Spurs,2,64.6
1980,Pontiac Silverdome,1610612745,Houston,Rockets,3,-247.7
1980,Pontiac Silverdome,1610612739,Cleveland,Cavaliers,3,-680.7
1980,Pontiac Silverdome,1610612764,Washington,Bullets,3,-906.9
1980,Pontiac Silverdome,1610612743,Denver,Nuggets,1,-1223.8
1980,Pontiac Silverdome,1610612760,Seattle,SuperSonics,1,-1314.2
1980,Pontiac Silverdome,1610612737,Atlanta,Hawks,1,-1343.0
1980,Pontiac Silverdome,1610612758,Kansas City,Kings,1,-1406.7
1980,Pontiac Silverdome,1610612762,Utah,Jazz,1,-1421.1
1980,Pontiac Silverdome,1610612752,New York,Knicks,3,-1488.2
1980,Pontiac Silverdome,1610612751,New Jersey,Nets,3,-1858.2
1980,Pontiac Silverdome,1610612756,Phoenix,Suns,1,-2208.4
1980,Pontiac Silverdome,1610612746,San Diego,Clippers,1,-2298.8
1980,Pontiac Silverdome,1610612744,Golden State,Warriors,1,-2316.3
1980,Pontiac Silverdome,1610612741,Chicago,Bulls,1,-2392.3
1980,Richfield Coliseum,1610612738,Boston,Celtics,3,8262.8
1980,Richfield Coliseum,1610612747,Los Angeles,Lakers,1,5757.8
1980,Richfield Coliseum,1610612755,Philadelphia,76ers,3,2055.9
1980,Richfield Coliseum,1610612743,Denver,Nuggets,1,1919.9
1980,Richfield Coliseum,1610612758,Kansas City,Kings,1,1879.7
1980,Richfield Coliseum,1610612757,Portland,Trail Blazers,1,774.2
1980,Richfield Coliseum,1610612749,Milwaukee,Bucks,1,658.8
1980,Richfield Coliseum,1610612752,New York,Knicks,3,576.4
1980,Richfield Coliseum,1610612760,Seattle,SuperSonics,1,-133.5
1980,Richfield Coliseum,1610612764,Washington,Bullets,2,-668.2
1980,Richfield Coliseum,1610612746,San Diego,Clippers,1,-1109.2
1980,Richfield Coliseum,1610612762,Utah,Jazz,1,-1350.3
1980,Richfield Coliseum,1610612759,San Antonio,Spurs,3,-2220.9
1980,Richfield Coliseum,1610612765,Detroit,Pistons,3,-2361.7
1980,Richfield Coliseum,1610612751,New Jersey,Nets,3,-2421.5
1980,Richfield Coliseum,1610612756,Phoenix,Suns,1,-2568.1
1980,Richfield Coliseum,1610612754,Indiana,Pacers,3,-3033.1
1980,Richfield Coliseum,1610612745,Houston,Rockets,2,-3533.0
1980,Rutgers Athletic Center,1610612747,Los Angeles,Lakers,1,2490.8
1980,Rutgers Athletic Center,1610612760,Seattle,SuperSonics,1,1855.2
1980,Rutgers Athletic Center,1610612738,Boston,Celtics,2,1836.6
1980,Rutgers Athletic Center,1610612755,Philadelphia,76ers,3,1010.0
1980,Rutgers Athletic Center,1610612752,New York,Knicks,3,888.7
1980,Rutgers Athletic Center,1610612764,Washington,Bullets,3,865.4
1980,Rutgers Athletic Center,1610612759,San Antonio,Spurs,3,144.2
1980,Rutgers Athletic Center,1610612741,Chicago,Bulls,1,-90.1
1980,Rutgers Athletic Center,1610612745,Houston,Rockets,3,-181.4
1980,Rutgers Athletic Center,1610612757,Portland,Trail Blazers,1,-251.8
1980,Rutgers Athletic Center,1610612754,Indiana,Pacers,1,-414.6
1980,Rutgers Athletic Center,1610612743,Denver,Nuggets,1,-772.1
1980,Rutgers Athletic Center,1610612762,Utah,Jazz,1,-932.8
1980,Rutgers Athletic Center,1610612749,Milwaukee,Bucks,1,-979.2
1980,Rutgers Athletic Center,1610612739,Cleveland,Cavaliers,3,-1220.6
1980,Rutgers Athletic Center,1610612746,San Diego,Clippers,1,-1265.6
1980,Rutgers Athletic Center,1610612756,Phoenix,Suns,1,-1308.9
1980,Rutgers Athletic Center,1610612765,Detroit,Pistons,1,-1462.4
1980,Rutgers Athletic Center,1610612744,Golden State,Warriors,1,-1678.8
1980,Rutgers Athletic Center,1610612737,Atlanta,Hawks,2,-1690.6
1980,Salt Palace,1610612738,Boston,Celtics,1,4647.8
1980,Salt Palace,1610612747,Los Angeles,Lakers,3,4211.3
1980,Salt Palace,1610612764,Washington,Bullets,1,2553.1
1980,Salt Palace,1610612760,Seattle,SuperSonics,3,1987.5
1980,Salt Palace,1610612754,Indiana,Pacers,1,576.7
1980,Salt Palace,1610612752,New York,Knicks,1,535.6
1980,Salt Palace,1610612749,Milwaukee,Bucks,3,18.6
1980,Salt Palace,1610612737,Atlanta,Hawks,1,-353.4
1980,Salt Palace,1610612743,Denver,Nuggets,2,-445.9
1980,Salt Palace,1610612751,New Jersey,Nets,1,-651.5
1980,Salt Palace,1610612759,San Antonio,Spurs,1,-712.1
1980,Salt Palace,1610612765,Detroit,Pistons,1,-877.6
1980,Salt Palace,1610612746,San Diego,Clippers,3,-921.4
1980,Salt Palace,1610612758,Kansas City,Kings,3,-943.4
1980,Salt Palace,1610612744,Golden State,Warriors,3,-1146.9
1980,Salt Palace,1610612756,Phoenix,Suns,3,-1276.7
1980,Salt Palace,1610612757,Portland,Trail Blazers,2,-1660.2
